"Ii" "E.Ii" "Var.Ii" "Z.Ii" "Pr(z != 0)"
"74" -0.0937373135552906 -0.000721500721500722 0.199120491722653 -0.208448515959517 0.834878777924562
"75" 0.000697111475984243 -0.000721500721500722 0.249080572067584 0.00284245607658183 0.997732051235739
"76" 2.43752065228253 -0.000721500721500722 0.110302571109441 7.34148671612901 2.11234122981788e-13
"77" -0.00961876093365004 -0.000721500721500722 0.165813771492698 -0.0218497259131532 0.982567828097539
"78" 0.00353507693259105 -0.000721500721500722 0.498880973792242 0.00602645738892142 0.995191611798386
"79" 0.109896184764305 -0.000721500721500722 0.199120491722653 0.247894327597773 0.804216168878012
"80" 0.024948770498881 -0.000721500721500722 0.142023257042731 0.0681162488090537 0.945693095719491
"81" 0.699028562981122 -0.000721500721500722 0.165813771492698 1.71843317325215 0.0857176338813031
"82" -0.0445750074000881 -0.000721500721500722 0.199120491722653 -0.0982757459003957 0.921713336905075
"83" -0.0822413829970886 -0.000721500721500722 0.199120491722653 -0.182686125765574 0.855044302589636
"84" -0.011997749042968 -0.000721500721500722 0.165813771492698 -0.0276920006021938 0.977907803853191
"85" 0.8588760741079 -0.000721500721500722 0.110302571109441 2.58822700159278 0.00964713824848465
"86" 0.812314335681661 -0.000721500721500722 0.199120491722653 1.82201400339296 0.0684528609018388
"87" -0.0591036664379458 -0.000721500721500722 0.165813771492698 -0.143373835169924 0.885994945979366
"88" 1.99379038338746 -0.000721500721500722 0.165813771492698 4.89808513623095 9.67751060372385e-07
"89" 0.0872712726054973 -0.000721500721500722 0.165813771492698 0.216091013827804 0.828916804172739
"90" 0.334072426332166 -0.000721500721500722 0.142023257042731 0.888378086821343 0.374337408635936
"91" 0.0441242454128933 -0.000721500721500722 0.199120491722653 0.100499355367841 0.919947894589772
"92" 0.00556662372011809 -0.000721500721500722 0.33234737264247 0.0109074945048997 0.991297251103831
"93" -0.0793475531058701 -0.000721500721500722 0.199120491722653 -0.176201050509158 0.860135995512975
